epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1895.3,0.8909,0.3593,0.00423,0.97212,0.93798,0.98769,0.79219,0.78432,0.27854,0.00451,0.0011882,0.0011882,0.0011882
43,1940.25,0.86874,0.34288,0.00447,0.97502,0.93956,0.98878,0.79978,0.75783,0.27134,0.00431,0.0011684,0.0011684,0.0011684
44,1985.01,0.86164,0.33746,0.0042,0.97229,0.94479,0.98796,0.77462,0.84601,0.28745,0.0049,0.0011486,0.0011486,0.0011486
45,2029.43,0.85574,0.34609,0.00416,0.971,0.94533,0.98985,0.81055,0.75263,0.26101,0.00442,0.0011288,0.0011288,0.0011288
46,2074.02,0.85141,0.33816,0.00407,0.97666,0.93915,0.98993,0.80413,0.77786,0.26382,0.00449,0.001109,0.001109,0.001109
47,2118.83,0.83756,0.32236,0.00408,0.97186,0.93717,0.98875,0.80764,0.7362,0.2842,0.00421,0.0010892,0.0010892,0.0010892
48,2163,0.85789,0.34962,0.00418,0.97712,0.94084,0.98824,0.8077,0.74781,0.26983,0.00423,0.0010694,0.0010694,0.0010694
49,2207.66,0.8346,0.32652,0.00403,0.96801,0.96124,0.99058,0.809,0.77201,0.25496,0.00456,0.0010496,0.0010496,0.0010496
50,2252.36,0.86716,0.34482,0.00414,0.96565,0.95201,0.98913,0.80465,0.72813,0.27297,0.00405,0.0010298,0.0010298,0.0010298
51,2296.67,0.86024,0.34812,0.00412,0.9811,0.94125,0.99055,0.81802,0.72768,0.247,0.00415,0.00101,0.00101,0.00101
52,2340.41,0.82975,0.32309,0.00393,0.97356,0.95512,0.99145,0.81513,0.7451,0.24934,0.00421,0.0009902,0.0009902,0.0009902
53,2384.6,0.81093,0.32024,0.00394,0.9736,0.95145,0.99018,0.81363,0.71986,0.25356,0.00412,0.0009704,0.0009704,0.0009704
54,2428.24,0.8242,0.32591,0.004,0.97563,0.95022,0.9904,0.82424,0.71375,0.25021,0.00402,0.0009506,0.0009506,0.0009506
55,2471.55,0.80014,0.32207,0.00398,0.97676,0.94247,0.98994,0.82014,0.72689,0.25429,0.00415,0.0009308,0.0009308,0.0009308
56,2515.97,0.82693,0.32696,0.00394,0.96564,0.95471,0.99071,0.81167,0.75273,0.25753,0.00442,0.000911,0.000911,0.000911
57,2560.24,0.79171,0.30764,0.00377,0.97646,0.94777,0.99038,0.81415,0.72671,0.25629,0.00412,0.0008912,0.0008912,0.0008912
58,2604.7,0.80376,0.31322,0.00381,0.98468,0.94431,0.99138,0.82625,0.70331,0.24032,0.00394,0.0008714,0.0008714,0.0008714
59,2648.86,0.81834,0.31429,0.00387,0.9814,0.95226,0.99174,0.82328,0.70787,0.24078,0.00395,0.0008516,0.0008516,0.0008516
60,2693.47,0.80708,0.31812,0.00385,0.9657,0.96504,0.99145,0.81652,0.72798,0.25728,0.00413,0.0008318,0.0008318,0.0008318
61,2737.28,0.80919,0.30972,0.00384,0.96563,0.96287,0.99181,0.81499,0.73325,0.24454,0.00409,0.000812,0.000812,0.000812
62,2780.59,0.81318,0.31656,0.00388,0.97867,0.95484,0.99176,0.82068,0.7229,0.24219,0.00408,0.0007922,0.0007922,0.0007922
63,2824.63,0.78904,0.30245,0.00378,0.97586,0.95349,0.99156,0.82287,0.70505,0.24373,0.00394,0.0007724,0.0007724,0.0007724
64,2868.69,0.79417,0.32202,0.00379,0.9851,0.94384,0.99078,0.82872,0.68512,0.241,0.00385,0.0007526,0.0007526,0.0007526
65,2912.33,0.80305,0.31075,0.00386,0.97677,0.94353,0.99109,0.82914,0.68247,0.2397,0.00382,0.0007328,0.0007328,0.0007328
66,2956.32,0.78339,0.30481,0.00376,0.97552,0.94614,0.99116,0.83285,0.68065,0.24241,0.00384,0.000713,0.000713,0.000713
67,3000.33,0.78124,0.30218,0.00375,0.96513,0.95975,0.99121,0.83475,0.66992,0.233,0.00377,0.0006932,0.0006932,0.0006932
68,3044.98,0.76977,0.29546,0.00372,0.96861,0.95838,0.99161,0.84288,0.65976,0.22763,0.00365,0.0006734,0.0006734,0.0006734
69,3088.4,0.75932,0.28937,0.0037,0.98831,0.94737,0.992,0.84101,0.65894,0.22305,0.00367,0.0006536,0.0006536,0.0006536
70,3132.36,0.76382,0.29025,0.00364,0.97516,0.95675,0.99184,0.8378,0.67092,0.232,0.00377,0.0006338,0.0006338,0.0006338
71,3175.65,0.77221,0.28802,0.00368,0.97364,0.95186,0.99137,0.83491,0.67105,0.23138,0.00375,0.000614,0.000614,0.000614
72,3220.24,0.75774,0.28456,0.00358,0.97957,0.95594,0.99219,0.84737,0.64526,0.2207,0.00357,0.0005942,0.0005942,0.0005942
73,3263.9,0.75101,0.2775,0.00358,0.97152,0.96002,0.99233,0.84056,0.6538,0.2225,0.0036,0.0005744,0.0005744,0.0005744
74,3307.81,0.74458,0.29433,0.00354,0.97672,0.95857,0.9923,0.83762,0.65519,0.23022,0.00364,0.0005546,0.0005546,0.0005546
75,3351.77,0.74262,0.28578,0.0035,0.98206,0.96045,0.99237,0.83881,0.65646,0.22539,0.00362,0.0005348,0.0005348,0.0005348
76,3395.79,0.75636,0.28984,0.00348,0.98002,0.96165,0.99273,0.84788,0.6449,0.21617,0.00358,0.000515,0.000515,0.000515
77,3439.72,0.73252,0.27559,0.00354,0.98776,0.95464,0.9922,0.84224,0.65817,0.2191,0.00367,0.0004952,0.0004952,0.0004952
78,3483.55,0.73795,0.2839,0.00342,0.98085,0.96108,0.99268,0.8506,0.63031,0.21247,0.00348,0.0004754,0.0004754,0.0004754
79,3527.27,0.74783,0.2866,0.00335,0.96838,0.97674,0.9929,0.84972,0.63493,0.21272,0.00351,0.0004556,0.0004556,0.0004556
80,3571.25,0.73367,0.27229,0.00338,0.98135,0.96625,0.99279,0.85471,0.63335,0.20985,0.00355,0.0004358,0.0004358,0.0004358
81,3614.55,0.69341,0.26005,0.00342,0.97932,0.96609,0.99286,0.85849,0.61973,0.2106,0.00341,0.000416,0.000416,0.000416
82,3658.63,0.72918,0.27178,0.0034,0.9735,0.97429,0.99296,0.85552,0.62387,0.2072,0.00346,0.0003962,0.0003962,0.0003962
83,3701.87,0.71804,0.27358,0.00338,0.98414,0.96199,0.99294,0.85398,0.62758,0.20941,0.00349,0.0003764,0.0003764,0.0003764
84,3745.38,0.69973,0.26236,0.00328,0.98703,0.96246,0.99319,0.85822,0.61255,0.20549,0.0034,0.0003566,0.0003566,0.0003566
85,3789.07,0.70746,0.26176,0.0033,0.9796,0.96328,0.99274,0.8633,0.60419,0.2057,0.00334,0.0003368,0.0003368,0.0003368
86,3832.51,0.69824,0.2675,0.00326,0.97428,0.97382,0.99321,0.85769,0.60699,0.20475,0.00333,0.000317,0.000317,0.000317
87,3876.88,0.72216,0.27995,0.00333,0.9707,0.97797,0.99322,0.86295,0.60137,0.20062,0.00331,0.0002972,0.0002972,0.0002972
88,3920.55,0.72707,0.27594,0.00334,0.97785,0.97348,0.99343,0.85879,0.6095,0.20103,0.00335,0.0002774,0.0002774,0.0002774
89,3964.76,0.70717,0.25611,0.0033,0.98254,0.96421,0.99326,0.8623,0.60496,0.20114,0.00332,0.0002576,0.0002576,0.0002576
90,4009.27,0.70413,0.2633,0.00325,0.97988,0.96532,0.9932,0.85992,0.60284,0.2064,0.00331,0.0002378,0.0002378,0.0002378
91,4084.7,0.6451,0.22573,0.00381,0.97718,0.96736,0.99327,0.86263,0.60436,0.19827,0.00332,0.000218,0.000218,0.000218
92,4127.7,0.63554,0.21278,0.00375,0.98461,0.96614,0.99338,0.86521,0.59956,0.19683,0.0033,0.0001982,0.0001982,0.0001982
93,4171.56,0.62719,0.21386,0.00371,0.98301,0.96799,0.99342,0.86148,0.60816,0.19709,0.00332,0.0001784,0.0001784,0.0001784
94,4215.34,0.63145,0.20704,0.00374,0.98262,0.9687,0.99351,0.86745,0.58924,0.19301,0.00323,0.0001586,0.0001586,0.0001586
95,4258.35,0.61558,0.20378,0.00356,0.98116,0.96899,0.99344,0.86746,0.59551,0.19365,0.00326,0.0001388,0.0001388,0.0001388
96,4301.81,0.62282,0.20344,0.0036,0.98101,0.96956,0.99356,0.86857,0.59126,0.19269,0.00324,0.000119,0.000119,0.000119
97,4345.44,0.62583,0.21531,0.00355,0.98219,0.96764,0.99354,0.86501,0.59733,0.19492,0.00327,9.92e-05,9.92e-05,9.92e-05
98,4389.28,0.61639,0.20906,0.00365,0.9716,0.97695,0.99349,0.86564,0.59194,0.19545,0.00323,7.94e-05,7.94e-05,7.94e-05
99,4432.76,0.61673,0.2075,0.00352,0.97121,0.97715,0.99357,0.86836,0.5881,0.19431,0.00321,5.96e-05,5.96e-05,5.96e-05
100,4476.96,0.61921,0.21134,0.00355,0.98624,0.96472,0.99345,0.86976,0.58458,0.19218,0.0032,3.98e-05,3.98e-05,3.98e-05
