epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1914.47,0.92114,0.39026,0.00576,0.93436,0.92993,0.97174,0.70483,0.95594,0.39848,0.0116,0.0011882,0.0011882,0.0011882
43,1959.33,0.92851,0.40094,0.00573,0.94174,0.9196,0.97533,0.71224,0.97045,0.37201,0.01251,0.0011684,0.0011684,0.0011684
44,2004.22,0.92877,0.38885,0.0057,0.94376,0.91206,0.97031,0.70809,1.00873,0.37965,0.01337,0.0011486,0.0011486,0.0011486
45,2048.41,0.92101,0.37731,0.00562,0.92489,0.94724,0.97818,0.7244,0.99206,0.36235,0.01337,0.0011288,0.0011288,0.0011288
46,2092.89,0.89306,0.35833,0.00565,0.93749,0.93467,0.97625,0.73642,0.94386,0.3433,0.01216,0.001109,0.001109,0.001109
47,2137.93,0.90432,0.39658,0.00561,0.91087,0.94975,0.97912,0.71942,0.99464,0.35247,0.01444,0.0010892,0.0010892,0.0010892
48,2182.44,0.89284,0.37226,0.00562,0.92717,0.92759,0.97838,0.7261,0.93467,0.33798,0.01162,0.0010694,0.0010694,0.0010694
49,2227.12,0.87911,0.36982,0.00543,0.96523,0.90675,0.97902,0.73448,0.9142,0.32642,0.01112,0.0010496,0.0010496,0.0010496
50,2272.89,0.89349,0.37256,0.00565,0.9448,0.94221,0.98001,0.73094,0.93373,0.32193,0.01125,0.0010298,0.0010298,0.0010298
51,2317.92,0.88063,0.36434,0.00549,0.91106,0.95234,0.9793,0.72068,0.9784,0.33723,0.0126,0.00101,0.00101,0.00101
52,2363.24,0.88465,0.36443,0.00533,0.95098,0.92614,0.97979,0.74622,0.90871,0.31882,0.01111,0.0009902,0.0009902,0.0009902
53,2408.03,0.86804,0.35952,0.00534,0.89262,0.9399,0.97496,0.72044,0.97354,0.35726,0.01378,0.0009704,0.0009704,0.0009704
54,2452.44,0.87326,0.3689,0.00523,0.92924,0.93467,0.97819,0.72975,0.94126,0.34756,0.0122,0.0009506,0.0009506,0.0009506
55,2497.46,0.85552,0.3611,0.00515,0.90932,0.95737,0.97914,0.73411,0.93112,0.35154,0.01112,0.0009308,0.0009308,0.0009308
56,2542.06,0.8551,0.35295,0.00517,0.91939,0.91698,0.97299,0.72768,0.95598,0.35093,0.01188,0.000911,0.000911,0.000911
57,2587.26,0.85675,0.34278,0.00521,0.93415,0.92676,0.9742,0.73519,0.90042,0.33122,0.01105,0.0008912,0.0008912,0.0008912
58,2632.54,0.86201,0.35136,0.00522,0.9048,0.95729,0.97721,0.7443,0.90638,0.32621,0.01105,0.0008714,0.0008714,0.0008714
59,2677.56,0.84931,0.3484,0.00493,0.93738,0.91457,0.97222,0.73114,0.91512,0.35308,0.0111,0.0008516,0.0008516,0.0008516
60,2722,0.84145,0.34291,0.00506,0.96017,0.90843,0.97832,0.73239,0.93638,0.33266,0.01161,0.0008318,0.0008318,0.0008318
61,2767.28,0.82738,0.33733,0.005,0.94662,0.93565,0.97581,0.72982,0.92069,0.35695,0.01125,0.000812,0.000812,0.000812
62,2811.71,0.85134,0.34387,0.00508,0.95524,0.93216,0.98197,0.73213,0.95254,0.31735,0.01228,0.0007922,0.0007922,0.0007922
63,2856.81,0.84824,0.34266,0.00502,0.93325,0.94852,0.97799,0.73233,0.93234,0.33637,0.01222,0.0007724,0.0007724,0.0007724
64,2902.26,0.82957,0.33127,0.00499,0.95542,0.91541,0.97571,0.73725,0.91406,0.34396,0.01135,0.0007526,0.0007526,0.0007526
65,2947.01,0.83454,0.34291,0.005,0.95774,0.91118,0.97635,0.73719,0.89749,0.33077,0.0108,0.0007328,0.0007328,0.0007328
66,2991.5,0.83594,0.34198,0.00495,0.92156,0.94467,0.98031,0.74477,0.88735,0.32358,0.0108,0.000713,0.000713,0.000713
67,3036.81,0.8161,0.32857,0.00487,0.95558,0.91882,0.97634,0.74114,0.91416,0.32176,0.01121,0.0006932,0.0006932,0.0006932
68,3082.17,0.82034,0.33279,0.00477,0.95452,0.91457,0.98041,0.73533,0.91461,0.33681,0.01116,0.0006734,0.0006734,0.0006734
69,3126.73,0.82293,0.32992,0.00497,0.91277,0.9598,0.97899,0.73971,0.91097,0.31304,0.01111,0.0006536,0.0006536,0.0006536
70,3171.83,0.79942,0.31663,0.00473,0.95417,0.94154,0.98251,0.74828,0.89589,0.31642,0.01123,0.0006338,0.0006338,0.0006338
71,3216.39,0.81614,0.32614,0.00491,0.9383,0.91709,0.97443,0.74312,0.87913,0.34632,0.01055,0.000614,0.000614,0.000614
72,3260.56,0.8036,0.31997,0.00476,0.94317,0.93467,0.98064,0.74307,0.90631,0.31817,0.01124,0.0005942,0.0005942,0.0005942
73,3305.32,0.79577,0.31719,0.00471,0.94923,0.90955,0.97713,0.72789,0.9336,0.33989,0.01202,0.0005744,0.0005744,0.0005744
74,3350.81,0.79661,0.31632,0.00469,0.93673,0.95477,0.98427,0.74368,0.90544,0.30863,0.01126,0.0005546,0.0005546,0.0005546
75,3395.69,0.78957,0.31456,0.00453,0.93878,0.94724,0.98106,0.7463,0.89613,0.31432,0.01078,0.0005348,0.0005348,0.0005348
76,3440.57,0.79666,0.31872,0.00455,0.92303,0.94472,0.97862,0.74707,0.87925,0.32333,0.01038,0.000515,0.000515,0.000515
77,3485.08,0.77501,0.31157,0.00451,0.94126,0.92595,0.9793,0.74968,0.88675,0.32489,0.01047,0.0004952,0.0004952,0.0004952
78,3530.13,0.77796,0.30544,0.00448,0.91013,0.94147,0.97638,0.7422,0.89364,0.33671,0.01112,0.0004754,0.0004754,0.0004754
79,3574.56,0.76422,0.30415,0.00454,0.92566,0.93856,0.97368,0.74114,0.89197,0.34107,0.01076,0.0004556,0.0004556,0.0004556
80,3619.32,0.7607,0.30475,0.00464,0.97002,0.90704,0.97884,0.7424,0.90425,0.3303,0.01079,0.0004358,0.0004358,0.0004358
81,3664.36,0.77586,0.31111,0.00449,0.94232,0.94416,0.97675,0.7469,0.88517,0.33236,0.01058,0.000416,0.000416,0.000416
82,3709.25,0.76118,0.29867,0.00445,0.92618,0.94576,0.97544,0.73737,0.89776,0.34509,0.01081,0.0003962,0.0003962,0.0003962
83,3754.35,0.75696,0.30052,0.00443,0.91659,0.95226,0.9765,0.73479,0.8887,0.34799,0.01067,0.0003764,0.0003764,0.0003764
84,3799.3,0.76465,0.30353,0.00439,0.93213,0.93467,0.9752,0.74208,0.89103,0.35356,0.0108,0.0003566,0.0003566,0.0003566
85,3844.2,0.74486,0.28842,0.00442,0.94444,0.94724,0.97657,0.74604,0.88342,0.32786,0.01072,0.0003368,0.0003368,0.0003368
86,3889.46,0.73671,0.28681,0.00432,0.94692,0.94129,0.97477,0.74227,0.89892,0.32977,0.01077,0.000317,0.000317,0.000317
87,3934.2,0.75701,0.29925,0.00426,0.9429,0.95435,0.97568,0.7403,0.89623,0.32572,0.01094,0.0002972,0.0002972,0.0002972
88,3979.28,0.7406,0.28841,0.00436,0.93364,0.94975,0.97998,0.74603,0.89445,0.31411,0.01094,0.0002774,0.0002774,0.0002774
89,4023.36,0.74845,0.29406,0.0043,0.9657,0.91959,0.98393,0.7493,0.89747,0.31066,0.01116,0.0002576,0.0002576,0.0002576
90,4068.51,0.75346,0.29676,0.00421,0.91202,0.96231,0.98136,0.75089,0.87997,0.30802,0.01059,0.0002378,0.0002378,0.0002378
91,4141.35,0.68152,0.237,0.00475,0.91289,0.96231,0.97914,0.74652,0.90033,0.30829,0.01113,0.000218,0.000218,0.000218
92,4183.94,0.6779,0.23596,0.00459,0.93925,0.93234,0.978,0.74428,0.89987,0.31772,0.0109,0.0001982,0.0001982,0.0001982
93,4227.23,0.67881,0.23227,0.00467,0.94638,0.92714,0.98074,0.74797,0.90084,0.31742,0.01091,0.0001784,0.0001784,0.0001784
94,4270.33,0.66526,0.22819,0.00456,0.91747,0.94964,0.97641,0.74348,0.90336,0.33229,0.0109,0.0001586,0.0001586,0.0001586
95,4314.49,0.6626,0.23153,0.00448,0.93648,0.9397,0.97636,0.74401,0.89361,0.32521,0.01084,0.0001388,0.0001388,0.0001388
96,4357.76,0.65617,0.22382,0.00444,0.94165,0.93255,0.97439,0.74766,0.88829,0.33172,0.01061,0.000119,0.000119,0.000119
97,4401.16,0.66284,0.22568,0.00446,0.93307,0.93216,0.9765,0.74665,0.89236,0.33289,0.01067,9.92e-05,9.92e-05,9.92e-05
98,4444.88,0.65616,0.22336,0.00436,0.93646,0.92714,0.97732,0.74657,0.88614,0.32933,0.01067,7.94e-05,7.94e-05,7.94e-05
99,4487.67,0.6539,0.22238,0.00439,0.95603,0.91206,0.976,0.74057,0.89615,0.33246,0.01087,5.96e-05,5.96e-05,5.96e-05
100,4531.17,0.66533,0.22872,0.00449,0.93553,0.92714,0.97438,0.74121,0.88966,0.3314,0.0107,3.98e-05,3.98e-05,3.98e-05
